,name,rating,reviews,type,hq,old,employees
0,TCS,3.9,16.1k Reviews,Public,Mumbai + 156 more,52 years old,10000+ employees
1,Accenture,4.0,14.1k Reviews,Private,Dublin + 87 more,31 years old,10000+ employees
2,ICICI Bank,4.1,12.7k Reviews,Public,Mumbai + 723 more,26 years old,10000+ employees
3,Cognizant,3.9,12.1k Reviews,Private,Teaneck + 44 more,26 years old,10000+ employees
4,HDFC Bank,4.0,10.9k Reviews,Public,Mumbai + 691 more,26 years old,10000+ employees
5,Infosys,3.9,10.8k Reviews,Public,Bangalore + 64 more,39 years old,10000+ employees
6,L&T,4.1,10.1k Reviews,Public,Mumbai + 332 more,82 years old,10000+ employees
7,Capgemini,3.3,9.6k Reviews,Private,Paris + 42 more,53 years old,10000+ employees
8,Tech Mahindra,3.5,9.1k Reviews,Public,Pune + 137 more,34 years old,10000+ employees
9,HCL Technologies,3.7,8.7k Reviews,Public,Noida + 106 more,14 years old,10000+ employees
10,Tata Motors,4.1,8.3k Reviews,Public,Pune + 336 more,75 years old,10000+ employees
11,IBM,4.0,8.2k Reviews,Private,New York + 69 more,109 years old,10000+ employees
12,Reliance jio,4.0,7.9k Reviews,Public,Navi Mumbai + 587 more,10 years old,10000+ employees
13,Genpact,4.0,7.6k Reviews,Private,New York + 31 more,23 years old,10000+ employees
14,Axis Bank,4.0,7.6k Reviews,Public,Mumbai + 641 more,27 years old,10000+ employees
15,Wipro,3.8,6.5k Reviews,Public,Bangalore + 114 more,75 years old,10000+ employees
16,Concentrix Daksh Service...,4.0,6.2k Reviews,New Delhi + 35 more,21 years old,10000+ employees,
17,Vodafone,4.3,5.9k Reviews,Public,Berkshire + 366 more,38 years old,10000+ employees
18,HDB Financial Services,4.0,5.5k Reviews,Private,Ahmedabad + 432 more,13 years old,10000+ employees
19,Bharti Airtel,4.2,5.4k Reviews,Public,New Delhi + 339 more,25 years old,10000+ employees
20,Kotak Mahindra Bank,3.8,5.1k Reviews,Public,Mumbai + 344 more,17 years old,10000+ employees
21,Amazon,4.2,4.8k Reviews,Private,Washington + 156 more,26 years old,10000+ employees
22,Reliance,4.2,4.6k Reviews,Public,Mumbai + 206 more,54 years old,10000+ employees
23,Hinduja Global Solutions,3.9,4.1k Reviews,Public,Bangalore + 73 more,20 years old,10000+ employees
24,Bajaj Finserv,4.1,3.8k Reviews,Public,Pune + 449 more,13 years old,10000+ employees
25,IndusInd Bank,3.6,3.7k Reviews,Public,Mumbai + 353 more,26 years old,10000+ employees
26,Samsung,4.2,3.5k Reviews,Private,Seoul + 286 more,82 years old,10000+ employees
27,Indian Army,4.7,3.4k Reviews,Govt agency,New Delhi + 192 more,125 years old,10000+ employees
28,Mahindra & Mahindra,4.3,3.2k Reviews,Public,Mumbai + 275 more,75 years old,10000+ employees
29,Ericsson,4.1,3.1k Reviews,Private,Stockholm + 110 more,144 years old,10000+ employees
30,Maruti Suzuki,4.2,3.1k Reviews,Public,"New Delhi,India + 266 more",39 years old,10000+ employees
31,IDEA Cellular,4.3,3k Reviews,Partnership,Mumbai + 284 more,25 years old,10000+ employees
32,Intelenet Global Service...,3.7,2.9k Reviews,Private,Mumbai + 54 more,20 years old,10000+ employees
33,Teleperformance,3.8,2.9k Reviews,Private,Paris + 36 more,42 years old,10000+ employees
34,WNS,3.7,2.8k Reviews,Private,Mumbai + 15 more,24 years old,10000+ employees
35,Reliance Retail,4.2,2.8k Reviews,Private,Mumbai + 229 more,14 years old,10000+ employees
36,ICICI Prudential Life In...,4.2,2.7k Reviews,Public,Mumbai + 317 more,19 years old,10000+ employees
37,Cipla Pharmaceutical,4.0,2.7k Reviews,Public,Mumbai + 140 more,85 years old,10000+ employees
38,Aegis Global,3.6,2.7k Reviews,Private,Mumbai + 35 more,37 years old,10000+ employees
39,HSBC,4.1,2.6k Reviews,Private,London + 34 more,155 years old,10000+ employees
40,Janalakshmi Financial Se...,3.8,2.6k Reviews,Public,Bangalore + 224 more,12 years old,10000+ employees
41,Reliance Communications,3.9,2.6k Reviews,Public,Navi Mumbai + 299 more,18 years old,10000+ employees
42,Dr. Reddy's,4.2,2.5k Reviews,Public,Hyderabad + 96 more,36 years old,10000+ employees
43,Sutherland Global Servic...,3.9,2.5k Reviews,Private,Pittsford + 19 more,34 years old,10000+ employees
44,DXC Technology,3.2,2.4k Reviews,Public,Tysons + 21 more,3 years old,10000+ employees
45,Hewlett-Packard,4.3,2.4k Reviews,Private,California + 49 more,81 years old,10000+ employees
46,Future Group,4.2,2.4k Reviews,Private,Mumbai + 165 more,33 years old,10000+ employees
47,Home Credit Finance,4.0,2.3k Reviews,Private,Gurugram + 74 more,8 years old,10000+ employees
48,Aditya Birla Fashion and...,4.2,2.3k Reviews,Private,Mumbai + 189 more,5 years old,10000+ employees
49,Bajaj Allianz Life Insur...,4.1,2.3k Reviews,Private,Pune + 300 more,19 years old,10000+ employees
50,Mphasis,3.8,2.3k Reviews,Public,Bangalore + 29 more,20 years old,10000+ employees
51,Yes Bank,3.8,2.3k Reviews,Public,Mumbai + 232 more,16 years old,10000+ employees
52,Flipkart,4.3,2.2k Reviews,Private,Bangalore + 177 more,13 years old,10000+ employees
53,Lupin,4.2,2.2k Reviews,Public,Mumbai + 99 more,52 years old,10000+ employees
54,WIPRO CONSUMER CARE & LI...,3.8,2.1k Reviews,Private,Bengaluru + 53 more,75 years old,5001-10000 employees
55,Ernst & Young,3.8,2.1k Reviews,Private,London + 40 more,31 years old,10000+ employees
56,OPPO,4.0,2.1k Reviews,Public,Shenzhen + 239 more,16 years old,10000+ employees
57,HDFC LIFE,4.0,2.1k Reviews,Partnership,Mumbai + 287 more,20 years old,10000+ employees
58,Asian Paints,4.3,2.1k Reviews,Public,Mumbai + 184 more,78 years old,5001-10000 employees
59,PayTM,4.0,2.1k Reviews,Private,Noida + 174 more,10 years old,10000+ employees
60,Unilever,4.4,2k Reviews,Public,London + 223 more,91 years old,10000+ employees
61,Deloitte,3.9,2k Reviews,Private,New York + 29 more,175 years old,10000+ employees
62,Nokia,4.4,2k Reviews,Private,Espoo + 142 more,155 years old,10000+ employees
63,Wipro Infotech,3.9,2k Reviews,Private,Bangalore + 106 more,75 years old,10000+ employees
64,Wipro BPS,3.8,1.9k Reviews,Bengaluru + 22 more,20 years old,10000+ employees,
65,Shriram Transport Financ...,4.1,1.9k Reviews,Public,Mumbai + 407 more,41 years old,10000+ employees
66,Ashok Leyland,4.3,1.9k Reviews,Public,Chennai + 129 more,72 years old,10000+ employees
67,Axis Securities,4.0,1.9k Reviews,Private,Mumbai + 225 more,15 years old,10000+ employees
68,Hyundai Motor,4.3,1.9k Reviews,Private,Seoul + 157 more,53 years old,10000+ employees
69,Sun Pharmaceutical Indus...,4.0,1.9k Reviews,Public,Mumbai + 100 more,37 years old,10000+ employees
70,Shapoorji Pallonji,4.3,1.9k Reviews,Private,Mumbai + 95 more,155 years old,10000+ employees
71,Vivo Smartphone,4.0,1.9k Reviews,Private,Dongguan + 226 more,11 years old,10000+ employees
72,Zydus Cadila,4.1,1.9k Reviews,Public,"Ahmedabad, India + 97 more",68 years old,10000+ employees
73,ITC,4.1,1.9k Reviews,Public,Kolkata + 121 more,110 years old,10000+ employees
74,Apollo Hospitals,4.1,1.8k Reviews,Public,Chennai + 91 more,37 years old,10000+ employees
75,UltraTech Cement,4.4,1.8k Reviews,Public,Mumbai + 200 more,37 years old,10000+ employees
76,Muthoot Fincorp,3.9,1.8k Reviews,Private,Kochi + 306 more,133 years old,10000+ employees
77,Mahindra & Mahindra Fina...,4.3,1.8k Reviews,Mumbai + 340 more,29 years old,10000+ employees,
78,NTT DATA,3.6,1.8k Reviews,Private,"Tokyo, JAPAN + 18 more",32 years old,10000+ employees
79,IIFL,3.8,1.8k Reviews,Public,Mumbai + 265 more,25 years old,10000+ employees
80,IDFC FIRST Bank,4.0,1.8k Reviews,Public,Mumbai + 144 more,26 years old,5001-10000 employees
