,urls
0,https://www.quikr.com/electronics-appliances/asus-x507uf-ej101t-for-sale-+ballia+W0QQAdIdZ338499193
1,https://www.quikr.com/electronics-appliances/good-fujitsu-laptop-available-for-cheap+delhi+W0QQAdIdZ338899746
2,https://www.quikr.com/electronics-appliances/brand-new-1-day-old-hp-laptop-15s-du0120tu-with-hp-laptop-bag-core-i3-8th-gen-4gb-ram-processor-intel-r-core-tm-i3-8145u-cpu-2.10ghz-2.30-ghz.-perfect-working-condition-no-damage-hp-hewlett-packard-35500-hp-hewlett-packard-individual-15-to-15.9+hyderabad+W0QQAdIdZ338937127
3,https://www.quikr.com/electronics-appliances/apple-15.4-inch-macbook-pro-a1398-mid-2015-core-i7-4th-gen-16-gb-ram-512-gb-ssd-+bangalore+W0QQAdIdZ337934127
4,https://www.quikr.com/electronics-appliances/apple-15.4-inch-macbook-pro-a1398-mid-2014-core-i7-5th-gen-16-gb-ram-512-gb-ssd-+bangalore+W0QQAdIdZ337935417
5,https://www.quikr.com/electronics-appliances/apple-15.4-inch-macbook-pro-a1398-mid-2014-core-i7-5th-gen-16-gb-ram-256-gb-ssd-+bangalore+W0QQAdIdZ337936348
6,https://www.quikr.com/electronics-appliances/apple-15.4-inch-macbook-pro-a1398-early-2013-core-i7-5th-gen-16-gb-ram-512-gb-ssd-+bangalore+W0QQAdIdZ337935201
7,https://www.quikr.com/electronics-appliances/apple-15.4-inch-macbook-pro-a1398-mid-2015-core-i7-4th-gen-16-gb-ram-512-gb-ssd-+bangalore+W0QQAdIdZ337933864
8,https://www.quikr.com/electronics-appliances/lenovo-all-in-one-desktop-i3-3rd-generation-4gb-ram-500gb-hdd-win-7-os-laptop-almost-like-new-15000-dealer+bangalore+W0QQAdIdZ338562989
9,https://www.quikr.com/electronics-appliances/hp-laptop-for-selling+ghaziabad+W0QQAdIdZ338665246
10,https://www.quikr.com/electronics-appliances/hp-pavilion-dv6000-entertainment-laptop-windows-10-installed-intel-centrino-duo-processor+hyderabad+W0QQAdIdZ338804625
